2.2628;2.22682;2.19115;2.15582;2.12082;2.08616;2.05187;2.01793;1.98434;1.95114;1.91832;1.88586;1.85381;1.82218;1.79093;1.7601;1.72967;1.69967;1.67009;1.64094;1.61223;1.58397;1.55615;1.52877;1.50185;1.4754;1.44941;1.42388;1.39883;1.37424;1.35014;1.32651;1.30337;1.28072;1.25856;1.23689;1.2157;1.19501;1.17483;1.15513;1.13593;1.11724;1.09904;1.08134;1.06416;1.04746;1.03128;1.01559;1.00041;0.985705;0.971522;0.95783;0.944642;0.931938;0.919738;0.908021;0.896802;0.886073;0.875821;0.866067;0.856789;0.847994;0.839677;0.831836;0.824479;0.817579;0.811162;0.805208;0.799725;0.794698;0.79014;0.78604;0.782402;0.779221;0.776496;0.774228;0.772416;0.771053;0.770154;0.769698;0.769698;0.770154;0.771053;0.772416;0.774228;0.776496;0.779221;0.782402;0.78604;0.79014;0.794698;0.799725;0.805208;0.811162;0.817579;0.824479;0.831836;0.839677;0.847994;0.856789;0.866067;0.875821;0.886073;0.896802;0.908028;0.919738;0.931938;0.944642;0.95783;0.971522;0.985712;1.0004;1.01559;1.03128;1.04747;1.06416;1.08135;1.09904;1.11724;1.13593;1.15513;1.17482;1.19501;1.2157;1.23688;1.25856;1.28072;1.30337;1.32651;1.35014;1.37424;1.39882;1.42388;1.4494;1.4754;1.50185;1.52877;1.55614;1.58397;1.61223;1.64094;1.67008;1.69966;1.72967;1.76009;1.79093;1.82217;1.85382;1.88587;1.91831;1.95114;1.98434;2.01792;2.05186;2.08616;2.12082;2.15582;2.19115;2.22682;2.26281;
3.19836;3.16288;3.12772;3.09289;3.05839;3.02423;2.99042;2.95696;2.92388;2.89115;2.85881;2.82684;2.79527;2.76409;2.73331;2.70293;2.67298;2.64342;2.6143;2.58561;2.55734;2.52952;2.50213;2.4752;2.44871;2.42268;2.39711;2.37199;2.34735;2.32318;2.29948;2.27626;2.25351;2.23125;2.20946;2.18817;2.16736;2.14705;2.12723;2.10789;2.08904;2.0707;2.05284;2.03549;2.01863;2.00226;1.98639;1.97101;1.95613;1.94174;1.92783;1.91443;1.90152;1.88909;1.87715;1.86569;1.85471;1.84422;1.8342;1.82467;1.8156;1.80701;1.79888;1.79123;1.78403;1.77731;1.77104;1.76523;1.75988;1.75498;1.75054;1.74654;1.74299;1.73989;1.73724;1.73503;1.73326;1.73193;1.73105;1.73061;1.73061;1.73105;1.73193;1.73326;1.73503;1.73724;1.73989;1.74299;1.74654;1.75054;1.75498;1.75988;1.76523;1.77104;1.77731;1.78403;1.79123;1.79888;1.80701;1.8156;1.82467;1.8342;1.84422;1.85471;1.86569;1.87715;1.88909;1.90152;1.91443;1.92784;1.94174;1.95613;1.97101;1.98638;2.00226;2.01863;2.03549;2.05285;2.07069;2.08904;2.10789;2.12723;2.14705;2.16737;2.18817;2.20947;2.23124;2.25351;2.27626;2.29948;2.32318;2.34735;2.372;2.39711;2.42268;2.44871;2.4752;2.50213;2.52951;2.55735;2.58561;2.6143;2.64343;2.67297;2.70294;2.73331;2.76409;2.79527;2.82684;2.85881;2.89115;2.92387;2.95696;2.99042;3.02422;3.05838;3.09288;3.12772;3.16288;3.19837;
4.13518;4.10022;4.06556;4.03124;3.99724;3.96357;3.93028;3.89731;3.86471;3.83248;3.80062;3.76914;3.73805;3.70734;3.67705;3.64713;3.61764;3.58856;3.55989;3.53165;3.50382;3.47645;3.44951;3.42302;3.39696;3.37135;3.34621;3.32153;3.29731;3.27354;3.25024;3.22743;3.20508;3.18321;3.16181;3.1409;3.12048;3.10053;3.08107;3.0621;3.04361;3.02561;3.00811;2.9911;2.97456;2.95853;2.94298;2.92791;2.91334;2.89925;2.88565;2.87253;2.85989;2.84773;2.83606;2.82486;2.81413;2.80388;2.79409;2.78478;2.77593;2.76754;2.75962;2.75215;2.74514;2.73857;2.73247;2.7268;2.72159;2.71681;2.71248;2.70859;2.70513;2.70211;2.69953;2.69738;2.69566;2.69437;2.69351;2.69308;2.69308;2.69351;2.69437;2.69566;2.69738;2.69953;2.70211;2.70514;2.70859;2.71248;2.71681;2.72159;2.7268;2.73247;2.73857;2.74514;2.75215;2.75962;2.76754;2.77593;2.78478;2.79409;2.80388;2.81413;2.82486;2.83606;2.84774;2.85989;2.87253;2.88565;2.89925;2.91334;2.92791;2.94298;2.95853;2.97457;2.99109;3.00811;3.02562;3.04361;3.0621;3.08107;3.10053;3.12047;3.1409;3.16182;3.18321;3.20508;3.22742;3.25024;3.27354;3.2973;3.32153;3.34621;3.37136;3.39696;3.42301;3.44951;3.47645;3.50383;3.53165;3.55989;3.58855;3.61764;3.64714;3.67704;3.70734;3.73805;3.76915;3.80062;3.83248;3.86471;3.89731;3.93027;3.96358;3.99724;4.03124;4.06557;4.10021;4.13519;
5.07327;5.03882;5.00468;4.97087;4.93738;4.90423;4.87142;4.83896;4.80686;4.77513;4.74377;4.71277;4.68216;4.65194;4.62211;4.59267;4.56365;4.53504;4.50682;4.47904;4.45169;4.42476;4.39826;4.37221;4.3466;4.32143;4.29671;4.27245;4.24865;4.22529;4.20242;4.18;4.15805;4.13658;4.11558;4.09506;4.07501;4.05545;4.03636;4.01776;3.99964;3.98199;3.96484;3.94816;3.93197;3.91626;3.90104;3.88628;3.87202;3.85824;3.84493;3.83211;3.81976;3.80788;3.79646;3.78553;3.77505;3.76505;3.7555;3.74641;3.73778;3.7296;3.72187;3.7146;3.70776;3.70137;3.69542;3.68991;3.68483;3.68019;3.67597;3.67218;3.66882;3.66588;3.66337;3.66128;3.6596;3.65835;3.65752;3.6571;3.6571;3.65752;3.65835;3.6596;3.66128;3.66337;3.66588;3.66882;3.67218;3.67597;3.68019;3.68483;3.68991;3.69542;3.70137;3.70776;3.71459;3.72187;3.7296;3.73778;3.74641;3.7555;3.76504;3.77505;3.78553;3.79647;3.80788;3.81976;3.83211;3.84494;3.85825;3.87203;3.88629;3.90104;3.91626;3.93197;3.94816;3.96483;3.98199;3.99963;4.01776;4.03636;4.05545;4.07502;4.09506;4.11559;4.13659;4.15806;4.18;4.20242;4.2253;4.24865;4.27245;4.29671;4.32143;4.3466;4.37221;4.39827;4.42476;4.45169;4.47905;4.50683;4.53504;4.56365;4.59268;4.62211;4.65194;4.68216;4.71277;4.74376;4.77513;4.80687;4.83897;4.87143;4.90423;4.93738;4.97086;5.00468;5.03882;5.07328;
6.01259;5.97866;5.94506;5.91176;5.87879;5.84615;5.81385;5.78191;5.75031;5.71907;5.6882;5.6577;5.62757;5.59784;5.5685;5.53954;5.51098;5.48284;5.45511;5.42779;5.40089;5.37442;5.34838;5.32276;5.29759;5.27286;5.24858;5.22474;5.20137;5.17844;5.15598;5.13397;5.11244;5.09135;5.07075;5.05062;5.03096;5.01177;4.99306;4.97483;4.95707;4.93979;4.92297;4.90665;4.8908;4.87543;4.86053;4.84611;4.83216;4.81868;4.80568;4.79314;4.78108;4.76948;4.75834;4.74766;4.73744;4.72768;4.71838;4.70952;4.7011;4.69314;4.68561;4.67853;4.67187;4.66566;4.65987;4.65451;4.64957;4.64506;4.64096;4.63728;4.63402;4.63116;4.62872;4.62669;4.62506;4.62385;4.62304;4.62263;4.62263;4.62304;4.62385;4.62506;4.62669;4.62872;4.63116;4.63402;4.63728;4.64096;4.64506;4.64958;4.65451;4.65987;4.66566;4.67187;4.67853;4.68561;4.69314;4.7011;4.70952;4.71838;4.72768;4.73744;4.74766;4.75834;4.76948;4.78108;4.79314;4.80568;4.81868;4.83216;4.84611;4.86053;4.87543;4.8908;4.90665;4.92298;4.93979;4.95707;4.97483;4.99306;5.01177;5.03096;5.05062;5.07076;5.09136;5.11243;5.13397;5.15597;5.17844;5.20137;5.22474;5.24858;5.27286;5.29759;5.32276;5.34837;5.37442;5.40089;5.42779;5.45511;5.48284;5.51099;5.53954;5.56849;5.59784;5.62758;5.6577;5.6882;5.71907;5.75031;5.78191;5.81385;5.84615;5.87879;5.91176;5.94506;5.97867;6.0126;
6.95315;6.91974;6.88667;6.85389;6.82143;6.78931;6.75754;6.7261;6.69501;6.66428;6.63391;6.60392;6.57429;6.54503;6.51617;6.4877;6.45963;6.43196;6.4047;6.37785;6.35141;6.3254;6.29981;6.27465;6.24993;6.22564;6.2018;6.17839;6.15544;6.13293;6.11089;6.0893;6.06817;6.0475;6.0273;6.00756;5.98829;5.96949;5.95115;5.93329;5.9159;5.89897;5.88253;5.86655;5.85104;5.836;5.82144;5.80734;5.79371;5.78055;5.76785;5.75561;5.74383;5.73252;5.72165;5.71124;5.70128;5.69177;5.6827;5.67408;5.66589;5.65814;5.65082;5.64393;5.63746;5.63142;5.6258;5.62059;5.61579;5.61141;5.60744;5.60386;5.6007;5.59793;5.59556;5.59359;5.59201;5.59083;5.59005;5.58966;5.58966;5.59005;5.59083;5.59201;5.59359;5.59556;5.59793;5.6007;5.60386;5.60744;5.61141;5.61579;5.62059;5.6258;5.63142;5.63746;5.64393;5.65082;5.65814;5.66589;5.67408;5.6827;5.69177;5.70128;5.71124;5.72165;5.73252;5.74383;5.75561;5.76785;5.78055;5.79371;5.80734;5.82144;5.836;5.85104;5.86655;5.88253;5.89897;5.91589;5.93329;5.95115;5.96949;5.98829;6.00756;6.0273;6.04751;6.06818;6.0893;6.11089;6.13294;6.15544;6.17839;6.20179;6.22563;6.24993;6.27465;6.29981;6.3254;6.35141;6.37785;6.4047;6.43197;6.45964;6.48771;6.51618;6.54504;6.57428;6.60391;6.63391;6.66428;6.69501;6.7261;6.75754;6.78932;6.82144;6.85389;6.88666;6.91975;6.95316;
7.89491;7.86205;7.82949;7.79726;7.76532;7.73374;7.70247;7.67155;7.64097;7.61075;7.58089;7.55139;7.52226;7.49351;7.46514;7.43717;7.40957;7.38237;7.35559;7.32921;7.30324;7.27769;7.25257;7.22786;7.20358;7.17974;7.15634;7.13337;7.11085;7.08878;7.06716;7.04598;7.02527;7.005;6.9852;6.96586;6.94698;6.92856;6.91061;6.89312;6.8761;6.85955;6.84345;6.82783;6.81267;6.79797;6.78374;6.76997;6.75666;6.74381;6.73142;6.71948;6.708;6.69696;6.68639;6.67624;6.66655;6.65729;6.64846;6.64007;6.63211;6.62458;6.61747;6.61077;6.6045;6.59863;6.59317;6.58812;6.58347;6.57922;6.57537;6.57191;6.56884;6.56616;6.56386;6.56195;6.56043;6.55929;6.55852;6.55815;6.55815;6.55852;6.55929;6.56043;6.56195;6.56386;6.56615;6.56884;6.57191;6.57537;6.57922;6.58347;6.58812;6.59317;6.59863;6.6045;6.61077;6.61747;6.62458;6.63211;6.64007;6.64846;6.65729;6.66655;6.67625;6.68638;6.69696;6.70801;6.71948;6.73143;6.74381;6.75666;6.76997;6.78374;6.79797;6.81267;6.82783;6.84346;6.85955;6.8761;6.89312;6.91061;6.92856;6.94698;6.96586;6.98521;7.005;7.02527;7.04598;7.06716;7.08877;7.11085;7.13337;7.15634;7.17974;7.20358;7.22786;7.25256;7.27769;7.30324;7.32921;7.35559;7.38238;7.40957;7.43716;7.46514;7.49351;7.52226;7.55139;7.58089;7.61075;7.64097;7.67154;7.70247;7.73373;7.76532;7.79725;7.82949;7.86205;7.89492;
8.83788;8.80555;8.77354;8.74183;8.71043;8.67937;8.64863;8.61822;8.58818;8.55846;8.52911;8.50013;8.4715;8.44325;8.41537;8.38788;8.36078;8.33407;8.30777;8.28186;8.25636;8.23128;8.20661;8.18236;8.15853;8.13515;8.11219;8.08967;8.06757;8.04593;8.02474;8.00399;7.98368;7.96383;7.94444;7.92549;7.90701;7.88898;7.87141;7.85431;7.83766;7.82147;7.80574;7.79047;7.77566;7.76131;7.74741;7.73398;7.72099;7.70846;7.69638;7.68475;7.67356;7.66281;7.6525;7.64264;7.63321;7.6242;7.61563;7.60748;7.59975;7.59243;7.58553;7.57903;7.57294;7.56726;7.56197;7.55708;7.55258;7.54846;7.54473;7.54138;7.53841;7.53583;7.53361;7.53176;7.53028;7.52918;7.52845;7.52808;7.52808;7.52845;7.52918;7.53028;7.53176;7.53361;7.53582;7.53841;7.54138;7.54473;7.54846;7.55258;7.55708;7.56197;7.56726;7.57294;7.57903;7.58553;7.59243;7.59974;7.60748;7.61563;7.6242;7.63321;7.64264;7.6525;7.66281;7.67355;7.68475;7.69638;7.70846;7.721;7.73398;7.74742;7.76131;7.77567;7.79047;7.80574;7.82147;7.83766;7.85431;7.87142;7.88899;7.90701;7.9255;7.94444;7.96384;7.98369;8.00399;8.02474;8.04594;8.06758;8.08967;8.11219;8.13515;8.15854;8.18237;8.20661;8.23128;8.25636;8.28186;8.30777;8.33407;8.36078;8.38788;8.41537;8.44325;8.4715;8.50012;8.52912;8.55846;8.58817;8.61823;8.64862;8.67936;8.71043;8.74183;8.77353;8.80555;8.83787;
9.78201;9.75022;9.71876;9.68758;9.65673;9.62619;9.59599;9.56611;9.53659;9.5074;9.47856;9.45008;9.42196;9.39422;9.36685;9.33985;9.31323;9.28701;9.2612;9.23577;9.21074;9.18614;9.16193;9.13815;9.11477;9.09184;9.06933;9.04725;9.0256;9.00439;8.98361;8.96329;8.9434;8.92397;8.90498;8.88645;8.86836;8.85072;8.83354;8.81682;8.80054;8.78472;8.76935;8.75444;8.73999;8.72598;8.71243;8.69933;8.68666;8.67445;8.66268;8.65135;8.64046;8.63001;8.61999;8.6104;8.60123;8.59249;8.58416;8.57625;8.56875;8.56166;8.55497;8.54868;8.54278;8.53728;8.53216;8.52743;8.52308;8.5191;8.5155;8.51226;8.5094;8.50689;8.50476;8.50297;8.50155;8.50049;8.49978;8.49942;8.49942;8.49978;8.50049;8.50155;8.50297;8.50476;8.50689;8.5094;8.51226;8.5155;8.5191;8.52308;8.52743;8.53216;8.53728;8.54278;8.54868;8.55497;8.56166;8.56875;8.57625;8.58416;8.59249;8.60123;8.6104;8.61999;8.63001;8.64046;8.65135;8.66268;8.67445;8.68666;8.69932;8.71243;8.72598;8.73999;8.75444;8.76936;8.78472;8.80054;8.81681;8.83354;8.85072;8.86835;8.88644;8.90498;8.92397;8.94341;8.96329;8.98361;9.00439;9.02559;9.04724;9.06932;9.09184;9.11478;9.13815;9.16193;9.18613;9.21075;9.23576;9.2612;9.28702;9.31324;9.33985;9.36684;9.39421;9.42196;9.45008;9.47856;9.50739;9.53658;9.56612;9.59599;9.6262;9.65673;9.68758;9.71875;9.75023;9.78201;
10.7273;10.6961;10.6652;10.6345;10.6042;10.5742;10.5445;10.5152;10.4862;10.4575;10.4292;10.4012;10.3736;10.3464;10.3195;10.293;10.2669;10.2412;10.2159;10.1909;10.1664;10.1422;10.1185;10.0952;10.0723;10.0498;10.0277;10.0061;9.98488;9.96411;9.94377;9.92387;9.90441;9.88539;9.86681;9.84867;9.83099;9.81376;9.79696;9.78061;9.76472;9.74927;9.73428;9.71973;9.70562;9.69196;9.67875;9.66598;9.65366;9.64177;9.63031;9.61929;9.6087;9.59855;9.58881;9.5795;9.5706;9.56212;9.55405;9.54638;9.53911;9.53224;9.52577;9.51969;9.51399;9.50867;9.50372;9.49916;9.49496;9.49111;9.48764;9.48452;9.48176;9.47935;9.47729;9.47557;9.4742;9.47317;9.47249;9.47215;9.47215;9.47249;9.47317;9.4742;9.47557;9.47729;9.47935;9.48176;9.48452;9.48764;9.49111;9.49495;9.49916;9.50373;9.50867;9.51399;9.51969;9.52577;9.53224;9.53911;9.54638;9.55404;9.56212;9.5706;9.5795;9.58881;9.59855;9.60871;9.61929;9.63031;9.64176;9.65366;9.66598;9.67875;9.69196;9.70562;9.71972;9.73428;9.74927;9.76472;9.78062;9.79696;9.81375;9.83099;9.84867;9.86681;9.88539;9.90441;9.92387;9.94377;9.96411;9.98488;10.0061;10.0277;10.0498;10.0723;10.0952;10.1185;10.1422;10.1664;10.1909;10.2159;10.2412;10.2669;10.293;10.3195;10.3464;10.3736;10.4012;10.4292;10.4575;10.4862;10.5152;10.5445;10.5742;10.6042;10.6345;10.6651;10.6961;10.7273;
